"Carrier","Departure Delay","Arrival Delay"
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-16.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-17.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-18.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-19.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
"AA",-1.00,-2.00
